time_s,vertical_g,lateral_g,longitudinal_g
0.00,1.0,0.0,0.0
0.25,1.0,0.0,0.0
0.50,1.0,0.0,0.0
0.75,1.0,0.0,0.0
1.00,1.0,0.0,0.0
1.25,1.0,0.0,0.0
1.50,1.0,0.0,0.0
1.75,1.0,0.0,0.0
2.00,1.0,0.0,0.0
2.25,1.0,0.0,0.0
2.50,1.0,0.0,0.0
2.75,1.0,0.0,0.0
3.00,1.0,0.0,0.0
3.25,1.0,0.0,0.0
3.50,1.0,0.0,0.0
3.75,1.0,0.0,0.0
4.00,1.0,0.0,0.0
4.25,1.0,0.0,0.0
4.50,1.0,0.0,0.0
4.75,1.0,0.0,0.0
5.00,1.0,0.0,0.0
5.25,1.0,0.0,0.0
5.50,1.0,0.0,0.0
5.75,1.0,0.0,0.0
6.00,1.0,0.0,0.0
6.25,1.0,0.0,0.0
6.50,1.0,0.0,0.0
6.75,1.0,0.0,0.0
7.00,1.0,0.0,0.0
7.25,1.0,0.0,0.0
7.50,1.0,0.0,0.0
7.75,1.0,0.0,0.0
8.00,1.0,0.0,0.0
8.25,1.0,0.0,0.0
8.50,1.0,0.0,0.0
8.75,1.0,0.0,0.0
9.00,1.0,0.0,0.0
9.25,1.0,0.0,0.0
9.50,1.0,0.0,0.0
9.75,1.0,0.0,0.0
10.00,1.0,0.0,0.0
10.25,1.0,0.0,0.0
10.50,1.0,0.0,0.0
10.75,1.0,0.0,0.0
11.00,1.0,0.0,0.0
11.25,1.0,0.0,0.0
11.50,1.0,0.0,0.0
11.75,1.0,0.0,0.0
12.00,1.0,0.0,0.0
